Country,CarbonMapSource,ConcessionType,TreeCoverPct,TotalCarbon_MgC,TotalCarbon_TgC,TotalCarbon_PgC,AvoidedTotalEmissions_MtCO2e,AvoidedTotalEmissions_MMtCO2e
Myanmar,WCMC,Oil Palm,≥ 40%,15770382.59,15.77,0.02,57824736.18,57.82
Myanmar,WCMC,Oil Palm,≥ 50%,15697213.64,15.70,0.02,57556450.00,57.56
Myanmar,WCMC,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,All,≥ 20%,43128957.01,43.13,0.04,158139509.02,158.14
Myanmar,WHRC,All,≥ 30%,43049072.64,43.05,0.04,157846599.67,157.85
Myanmar,WHRC,All,≥ 40%,42977888.85,42.98,0.04,157585592.43,157.59
Myanmar,WHRC,All,≥ 50%,42753860.13,42.75,0.04,156764153.80,156.76
Myanmar,WHRC,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Oil Palm,≥ 20%,43128957.01,43.13,0.04,158139509.02,158.14
Myanmar,WHRC,Oil Palm,≥ 30%,43049072.64,43.05,0.04,157846599.67,157.85
Myanmar,WHRC,Oil Palm,≥ 40%,42977888.85,42.98,0.04,157585592.43,157.59
Myanmar,WHRC,Oil Palm,≥ 50%,42753860.13,42.75,0.04,156764153.80,156.76
Myanmar,WHRC,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
